card_id,report_date,strategy,family,direction,policy,fill_status,entry_rule,fill_ts,fill_px,R_points,risk_vs_card,units,blended_R,blended_R_card
2026-07-15_Trade_2,2026-07-15,"Trade 2 — Pivot, TRANSITION regime (breakout side only)",Trade 2,LONG,usopen,FILLED,MARKET at 16:30 open,2026-07-23 16:30:00,4058.84,50.34,0.45,3,-1.0,-1.0
2026-07-15_Trade_3C,2026-07-15,"Trade 3 — Momentum-Breakout (3C, TRANSITION variant)",Trade 3C,n/a,usopen,SUPPRESSED,,,,,,1,0.0,0.0
2026-07-16_Trade_1,2026-07-16,TRADE 1 - Daily Directional · SUPPRESSED,Trade 1,LONG,usopen,SUPPRESSED,,,,,,1,0.0,0.0
2026-07-16_Trade_2,2026-07-16,TRADE 2 - Regime-Aware Pivot · ACTIVE (Leg B — LONG from support),Trade 2,LONG,usopen,SKIPPED_MICRO_R,LIMIT already marketable at 16:30 - filled at open,2026-07-17 16:30:00,3968.38,2.25,0.054,1,0.0,0.0
2026-07-16_Trade_3C,2026-07-16,TRADE 3 - Regime-Driven Complex · FORK: 3C (Breakout) — downside leg,Trade 3C,SHORT,usopen,NO TRIGGER,,,,,,1,0.0,0.0
2026-07-17_Trade_1,2026-07-17,Trade 1 — Daily Directional,Trade 1,SHORT,usopen,FILLED,MARKET at 16:30 open,2026-07-20 16:30:00,4008.9,16.51,0.466,3,-0.641,-0.833
2026-07-17_Trade_2,2026-07-17,"Trade 2 — Pivot (regime-aware). TREND_DOWN regime: the fade-to-pivot variant is disabled and the trend-continuation variant is active — the pivot is treated as resistance to sell into, not as a magnet to fade toward.",Trade 2,SHORT,usopen,FILLED,LIMIT touched,2026-07-20 16:30:00,4009.78,51.46,1.0,3,-1.0,-1.0
2026-07-17_Trade_3A,2026-07-17,Trade 3A — Momentum-Pullback. Regime fork: TREND_DOWN selects variant 3A. Qualifying swing found at the default 4-session lookback — no adaptive extension needed.,Trade 3A,SHORT,usopen,NO FILL,,,,,,1,0.0,0.0
2026-07-20_Trade_1,2026-07-20,"Trade 1 — Daily Directional (SHORT — regime bias bearish, conviction −0.51)",Trade 1,SHORT,usopen,SKIPPED_MALFORMED,MARKET at 16:30 open,2026-07-21 16:30:00,4050.99,15.69,0.873,1,0.0,0.0
2026-07-20_Trade_2,2026-07-20,Trade 2 — Pivot (regime-aware),Trade 2,n/a,usopen,SUPPRESSED,,,,,,1,0.0,0.0
2026-07-20_Trade_3C,2026-07-20,Trade 3C — Momentum-Breakout. TRANSITION regime; trades the confirmed break of the 25-session range.,Trade 3C,SHORT,usopen,UNPRICED,,,,,,1,0.0,0.0
2026-07-21_Trade_1,2026-07-21,"Trade 1 — Daily Directional (SHORT — bearish regime, conviction −0.71)",Trade 1,SHORT,usopen,SKIPPED_MALFORMED,MARKET at 16:30 open,2026-07-22 16:30:00,4131.76,81.66,1.94,1,0.0,0.0
2026-07-21_Trade_2,2026-07-21,"Trade 2 — Pivot (regime-aware, TREND branch: sell rallies to resistance)",Trade 2,SHORT,usopen,SKIPPED_MALFORMED,LIMIT already marketable at 16:30 - filled at open,2026-07-22 16:30:00,4131.76,81.66,3.907,1,0.0,0.0
2026-07-21_Trade_3A,2026-07-21,Trade 3A — Momentum-Pullback (regime = TREND_DOWN → 3A active),Trade 3A,SHORT,usopen,SKIPPED_MALFORMED,LIMIT already marketable at 16:30 - filled at open,2026-07-22 16:30:00,4131.76,82.76,2.854,1,0.0,0.0
2026-07-22_Trade_1,2026-07-22,Trade 1 — Daily Directional,Trade 1,n/a,usopen,SUPPRESSED,,,,,,1,0.0,0.0
2026-07-22_Trade_2,2026-07-22,Trade 2 — Pivot (RANGE mean-reversion),Trade 2,SHORT,usopen,NO FILL,,,,,,1,0.0,0.0
2026-07-22_Trade_3B,2026-07-22,"Trade 3 — Mean-Reversion (3B, RANGE)",Trade 3B,LONG,usopen,NO FILL,,,,,,1,0.0,0.0
2026-07-23_Trade_1,2026-07-23,Trade 1 — Daily Directional,Trade 1,LONG,usopen,SKIPPED_MALFORMED,MARKET at 16:30 open,2026-07-24 16:30:00,4046.36,20.16,0.237,1,0.0,0.0
2026-07-23_Trade_2,2026-07-23,"Trade 2 — Pivot, TRANSITION regime branch",Trade 2,LONG,usopen,SKIPPED_MALFORMED,LIMIT already marketable at 16:30 - filled at open,2026-07-24 16:30:00,4046.36,20.16,0.394,1,0.0,0.0
2026-07-23_Trade_3A,2026-07-23,Trade 3A — Momentum-Pullback,Trade 3A,LONG,usopen,FILLED,LIMIT already marketable at 16:30 - filled at open,2026-07-24 16:30:00,4046.36,26.36,0.433,3,-1.0,-1.0
2026-07-24_Trade_1,2026-07-24,Trade 1 — Daily Directional,Trade 1,SHORT,usopen,FILLED,MARKET at 16:30 open,2026-07-27 16:30:00,4076.25,63.36,0.766,3,-0.669,-0.746
2026-07-24_Trade_2,2026-07-24,"Trade 2 — Pivot (regime-aware, trend branch: fade the counter-trend rally into resistance)",Trade 2,SHORT,usopen,NO FILL,,,,,,1,0.0,0.0
2026-07-24_Trade_3A,2026-07-24,Trade 3 — Momentum-Pullback (3A). Variant selected by the trending-bearish regime with efficiency-ratio confirmation,Trade 3A,SHORT,usopen,NO FILL,,,,,,1,0.0,0.0
2026-07-27_Trade_1,2026-07-27,Trade 1 - Daily Directional,Trade 1,SHORT,usopen,SUPPRESSED,,,,,,1,0.0,0.0
2026-07-27_Trade_2,2026-07-27,Trade 2 - Pivot fade at validated range extreme (Ranging regime).,Trade 2,SHORT,usopen,NO FILL,,,,,,1,0.0,0.0
2026-07-27_Trade_3A,2026-07-27,Trade 3A - Momentum-Pullback. RANGE dual-gate fails (VOLator slope +0.01 not ≤ 0) → fork falls through to 3A.,Trade 3A,SHORT,usopen,FILLED,STOP touched,2026-07-28 17:15:00,4020.0,38.0,1.0,3,-1.0,-1.0
2026-07-28_Trade_1,2026-07-28,Trade 1 - Daily Directional (LONG),Trade 1,LONG,usopen,SKIPPED_MALFORMED,MARKET at 16:30 open,2026-07-29 16:30:00,4014.46,20.74,0.496,1,0.0,0.0
2026-07-28_Trade_2,2026-07-28,"Trade 2 - TRANSITION: breakout-side only (upside), aligned with the 3C long thesis",Trade 2,LONG,usopen,FILLED,STOP touched,2026-07-29 21:00:00,4055.47,27.12,1.0,3,1.578,1.578
2026-07-28_Trade_3C,2026-07-28,Trade 3C - post-consolidation upside breakout of the 25-session range,Trade 3C,LONG,usopen,FILLED,MARKET at 16:30 open,2026-08-06 16:30:00,4247.76,452.61,1.164,3,0.498,0.744
2026-07-29_Trade_1,2026-07-29,Trade 1 - Daily Directional (SHORT),Trade 1,SHORT,usopen,FILLED,MARKET at 16:30 open,2026-07-30 16:30:00,4080.19,16.81,0.251,3,-1.0,-1.0
2026-07-29_Trade_2,2026-07-29,"Trade 2 - Pivot, regime-aware (TRANSITION → breakout side only)",Trade 2,SHORT,usopen,NO FILL,,,,,,1,0.0,0.0
2026-07-29_Trade_3C,2026-07-29,Trade 3C - Momentum-Breakout (TRANSITION),Trade 3C,SHORT,usopen,NO TRIGGER,,,,,,1,0.0,0.0
2026-07-30_Trade_1,2026-07-30,Trade 1 — Daily Directional (SHORT),Trade 1,SHORT,usopen,FILLED,MARKET at 16:30 open,2026-07-31 16:30:00,4042.68,34.77,0.819,3,-0.702,-0.756
2026-07-30_Trade_2,2026-07-30,"Trade 2 — Pivot, TRANSITION (breakout-side only)",Trade 2,SHORT,usopen,NO FILL,,,,,,1,0.0,0.0
2026-07-30_Trade_3C,2026-07-30,"Trade 3C — Momentum-Breakout (TRANSITION, downside)",Trade 3C,SHORT,usopen,UNPRICED,,,,,,1,0.0,0.0
2026-07-31_Trade_1,2026-07-31,"Trade 1 — Daily Directional (long bias, override-produced)",Trade 1,LONG,usopen,FILLED,MARKET at 16:30 open,2026-08-03 16:30:00,4034.23,39.23,0.553,3,2.528,0.949
2026-07-31_Trade_2,2026-07-31,"Trade 2 — Pivot, regime-aware (TRANSITION → breakout side)",Trade 2,LONG,usopen,NO FILL,,,,,,1,0.0,0.0
2026-07-31_Trade_3C,2026-07-31,"Trade 3 — Momentum-Breakout (3C, TRANSITION regime)",Trade 3C,LONG,usopen,FILLED,MARKET at 16:30 open,2026-08-13 16:30:00,4385.35,266.35,0.928,3,0.329,0.233
